Date,Time,Para_name,Value,Dimension
01/29/2020,11:00:22,GEN_KVAr_L1,0,kVAr
01/29/2020,11:00:22,GEN_kVAr_L2,0,kVAr
01/29/2020,11:00:22,GEN_kVAr_L3,0,kVAr
01/29/2020,11:00:22,GEN_PF,0.0,UNIT
01/29/2020,11:00:23,GEN_PF_L1,0.0,UNIT
01/29/2020,11:00:23,GEN_PF_L2,0.0,UNIT
01/29/2020,11:00:23,GEN_PF_L3,0.0,UNIT
01/29/2020,11:00:24,GEN_kVA,0,kVA
01/29/2020,11:00:24,GEN_kVA_L1,0,kVA
01/29/2020,11:00:24,GEN_kVA_L2,0,kVA
01/29/2020,11:00:24,GEN_kVA_L3,0,kVA
01/29/2020,11:00:25,GEN_E_FAULT,655.35,A
01/29/2020,11:00:25,BAT_VOLT,21.4,V
01/29/2020,11:00:25,CHR_VOLT,21.3,V
01/29/2020,11:00:25,OIL_PRESS,3276.8,BAR
01/29/2020,11:00:26,ENG_TEMP,32768,DEG CELCIUS
01/29/2020,11:00:26,FUEL_LEVEL,32768,%
01/29/2020,11:00:26,PYGEN_READ,0,BIN
01/29/2020,11:02:14,PYGEN_READ,1,BIN
01/29/2020,11:02:14,GEN_V_L1-N,0,V
01/29/2020,11:02:15,GEN_V_L2-N,0,V
01/29/2020,11:02:15,GEN_V_L3-N,0,V
01/29/2020,11:02:15,GEN_V_L1-L2,0,V
01/29/2020,11:02:16,GEN_V_L2-L3,0,V
01/29/2020,11:02:16,GEN_V_L3-L1,0,V
01/29/2020,11:02:16,GEN_I_L1,0,A
01/29/2020,11:02:16,GEN_I_L2,0,A
01/29/2020,11:02:17,GEN_I_L3,0,A
01/29/2020,11:02:17,GEN_RPM,0,RPM
01/29/2020,11:02:17,GEN_FREQ,0.0,Hz
01/29/2020,11:02:17,GEN_kW,0,kW
01/29/2020,11:02:18,GEN_kW_L1,0,kW
01/29/2020,11:02:18,GEN_kW_L2,0,kW
01/29/2020,11:02:18,GEN_kW_L3,0,kW
01/29/2020,11:02:19,GEN_NOM_kVA,800,kVA
01/29/2020,11:02:19,GEN_kVAr,0,kVAr
01/29/2020,11:02:19,GEN_KVAr_L1,0,kVAr
01/29/2020,11:02:19,GEN_kVAr_L2,0,kVAr
01/29/2020,11:02:20,GEN_kVAr_L3,0,kVAr
01/29/2020,11:02:20,GEN_PF,0.0,UNIT
01/29/2020,11:02:20,GEN_PF_L1,0.0,UNIT
01/29/2020,11:02:20,GEN_PF_L2,0.0,UNIT
01/29/2020,11:02:21,GEN_PF_L3,0.0,UNIT
01/29/2020,11:02:21,GEN_kVA,0,kVA
01/29/2020,11:02:21,GEN_kVA_L1,0,kVA
01/29/2020,11:02:21,GEN_kVA_L2,0,kVA
01/29/2020,11:02:22,GEN_kVA_L3,0,kVA
01/29/2020,11:02:22,GEN_E_FAULT,655.35,A
01/29/2020,11:02:22,BAT_VOLT,21.4,V
01/29/2020,11:02:23,CHR_VOLT,21.3,V
01/29/2020,11:02:23,OIL_PRESS,3276.8,BAR
01/29/2020,11:02:23,ENG_TEMP,32768,DEG CELCIUS
01/29/2020,11:02:23,FUEL_LEVEL,32768,%
